386.0,0.929
141.0,1.0
873.0,0.737
108.0,0.5
521.0,0.333
1867.0,1.0
1857.0,1.0
1302.0,0.875
707.0,1.0
223.0,0.0
386.0,0.417
568.0,1.0
2172.0,1.0
567.0,0.6
178.0,0.571
873.0,0.0
2051.0,0.984
1377.0,0.933
1812.0,1.0
905.0,1.0
365.0,0.784
505.0,1.0
404.0,1.0
1174.0,1.0
116.0,1.0
562.0,0.778
172.0,1.0
379.0,1.0
635.0,0.733
1091.0,1.0
2202.0,0.8
332.0,0.75
2217.0,0.667
1255.0,0.667
244.0,0.0
305.0,0.0
227.0,0.6
286.0,0.0
1332.0,0.0
975.0,0.0
1198.0,0.333
840.0,0.238
832.0,0.227
418.0,0.111
1394.0,0.931
2769.0,1.0
1653.0,0.917
1121.0,0.667
314.0,0.0
244.0,1.0
442.0,0.8
858.0,0.875
98.0,1.0
127.0,1.0
125.0,1.0
228.0,0.25
2856.0,0.952
3248.0,1.0
418.0,0.824
899.0,0.846
1810.0,1.0
2768.0,0.833
1692.0,1.0
541.0,1.0
1047.0,1.0
670.0,1.0
497.0,0.667
578.0,0.0
553.0,0.0
415.0,0.0
482.0,0.5
305.0,0.5
307.0,0.0
133.0,0.0
632.0,0.0
524.0,0.0
150.0,0.333
1345.0,0.385
544.0,0.182
633.0,0.962
394.0,1.0
484.0,0.9
265.0,1.0
3166.0,1.0
1999.0,1.0
1250.0,1.0
637.0,1.0
823.0,1.0
143.0,1.0
221.0,0.0
3061.0,1.0
2154.0,0.947
307.0,0.941
3858.0,1.0
2294.0,1.0
802.0,1.0
548.0,1.0
2570.0,1.0
1158.0,0.833
770.0,1.0
1561.0,0.0
178.0,0.5
444.0,0.5
374.0,0.0
654.0,0.167
367.0,0.25
422.0,0.214
1839.0,0.973
717.0,0.955
512.0,0.944
1247.0,0.861
924.0,0.84
3636.0,0.917
1425.0,0.889
1203.0,0.875
926.0,1.0
320.0,1.0
153.0,1.0
890.0,1.0
1858.0,1.0
928.0,1.0
2153.0,0.833
1542.0,0.833
1436.0,0.833
1139.0,0.833
609.0,0.833
799.0,0.727
116.0,1.0
1003.0,1.0
758.0,1.0
202.0,1.0
367.0,1.0
1763.0,1.0
121.0,1.0
192.0,1.0
